,street_name,city_name,total_square_meters,living_square_meters,kitchen_square_meters,rooms_count,floor,wall_type,inspected,construction_year,heating,seller,water,building_condition,floors_count,price_uah
0,улица,Винница,66.0,38.0,10.0,3.0,6,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,9,1244275
1,улица,Винница,60.0,24.0,14.0,1.0,4,монолитно-каркасный,True,2014.0,без отопления,от представителя хозяина (без комиссионных),централизованное (водопровод),other,12,737913
2,улица,Херсон,30.0,20.0,5.0,1.0,3,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,4,508906
3,улица,Харьков,51.0,31.0,8.5,2.0,7,керамзитобетон,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,9,839695
4,улица,Тернополь,60.3,30.2,18.8,1.0,5,кирпич,True,2014.0,без отопления,от посредника,централизованное (водопровод),отличное,10,1068702
5,проезд,Харьков,46.8,20.0,14.0,1.0,3,кирпич,True,2019,централизованное,от посредника,централизованное (водопровод),хорошее,16,737913
6,улица,Одесса,88.0,58.0,12.0,2.0,6,монолитно-каркасный,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,22,1908397
7,улица,Винница,62.0,39.0,11.0,2.0,4,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,9,1450382
8,улица,Черкассы,47.6,19.7,9.8,1.0,9,монолит,True,2015,централизованное,от посредника,централизованное (водопровод),хорошее,17,750636
9,улица,Одесса,51.0,38.0,9.0,2.0,3,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,776081
10,проспект,Тернополь,65.0,40.0,13.0,2.0,3,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,9,1424936
11,улица,Киев,54.8,29.2,8.0,2.0,5,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,12,1348600
12,проспект,Харьков,64.0,32.0,8.7,2.0,5,кирпич,True,2007,централизованное,от посредника,централизованное (водопровод),хорошее,9,1450382
13,улица,Киево-Святошинский,63.0,40.0,16.0,2.0,8,кирпич,True,2018,индивидуальное,от представителя застройщика,централизованное (водопровод),хорошее,10,1374046
14,улица,Киев,125.0,32.0,15.0,4.0,11,кирпич,False,2006,централизованное,от собственника,other,other,31,4961832
15,улица,Одесса,34.79,32.0,9.0,1.0,2,газобетон,True,2014.0,без отопления,от посредника,централизованное (водопровод),хорошее,5,646234
16,улица,Киев,42.31,24.6,8.1,2.0,1,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,16,1068702
17,улица,Винница,65.0,40.0,9.0,3.0,3,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,9,1017812
18,улица,Одесса,90.0,65.0,20.0,3.0,8,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,10,4020356
19,улица,Киев,67.2,45.0,7.0,3.0,9,монолитно-блочный,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,12,1424936
20,шоссе,Харьков,89.4,41.1,15.0,4.0,8,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,12,1043257
21,улица,Киев,42.77,18.0,10.0,1.0,12,панель,True,2014.0,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,22,865140
22,улица,Житомир,35.0,19.0,8.5,1.0,3,панель,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,5,496183
23,улица,Херсон,71.0,32.0,12.0,3.0,7,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,10,1017812
24,улица,Киев,46.7,32.0,9.0,1.0,5,кирпич,True,2014.0,без отопления,от представителя застройщика,централизованное (водопровод),требует,6,1307600
25,улица,Киево-Святошинский,109.0,57.0,17.0,3.0,14,кирпич,True,2014,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,15,2111959
26,улица,Одесса,76.0,76.0,40.0,2.0,9,монолитно-каркасный,True,2012,индивидуальное,от собственника,централизованное (водопровод),отличное,16,2417303
27,улица,Винница,78.3,54.1,8.0,3.0,1,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,3,979644
28,other,Ровно,62.0,32.0,8.0,3.0,6,панель,False,2014.0,централизованное,от посредника,other,other,9,661578
29,улица,Одесса,33.0,18.0,6.3,1.0,5,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,5,597964
30,улица,Тернополь,48.7,26.5,8.7,2.0,4,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,839695
31,улица,Ивано-Франковск,78.6,46.9,10.0,3.0,6,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,10,1068702
32,улица,Ирпень,48.5,28.0,7.0,2.0,2,кирпич,True,2014.0,без отопления,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,4,737405
33,улица,Хмельницкий,45.6,32.0,9.0,2.0,5,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,610687
34,улица,Винница,43.5,30.0,5.0,2.0,2,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,9,801527
35,улица,Ужгород,46.0,32.0,9.0,1.0,4,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,5,750636
36,улица,Винница,42.0,22.0,10.0,1.0,2,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,12,763359
37,улица,Днепропетровск,115.0,32.0,9.0,3.0,6,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,12,1984733
38,улица,Ирпень,37.5,32.0,9.0,1.0,4,монолитно-блочный,True,2014.0,без отопления,от застройщика,other,other,10,525000
39,улица,Винница,60.0,18.0,12.0,1.0,5,монолитно-каркасный,True,2014.0,без отопления,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,12,687023
